Nodos: 30993
Aristas: 16635
Tipo 1: 16193
Tipo 2: 16193
Tipo 3: 442

28632	13502	1
13502	28632	2
2408	19131	1
19131	2408	2
19389	23673	1
23673	19389	2
28811	27486	1
27486	28811	2
20201	9518	1
9518	20201	2
9541	25892	1
25892	9541	2
7244	24333	1
24333	7244	2
17521	20323	1
20323	17521	2
26678	6469	1
6469	26678	2
14621	10410	1
10410	14621	2
27731	29589	1
29589	27731	2
25762	1932	1
1932	25762	2
2408	24854	1
24854	2408	2
3528	18919	1
18919	3528	2
29809	21598	1
21598	29809	2
11966	19405	1
19405	11966	2
25313	25345	1
25345	25313	2
17946	7815	1
7815	17946	2
12920	18849	1
18849	12920	2
1939	30293	1
30293	1939	2
11388	12924	1
12924	11388	2
26678	27412	1
27412	26678	2
2427	12169	1
12169	2427	2
12666	2126	1
2126	12666	2
28043	11290	1
11290	28043	2
9750	19269	1
19269	9750	2
26584	2830	1
2830	26584	2
212	20600	1
20600	212	2
12934	7423	1
7423	12934	2
18160	17935	1
17935	18160	2
11290	29216	1
29216	11290	2
22797	658	1
658	22797	2
10952	22332	1
22332	10952	2
2127	3753	1
3753	2127	2
10952	29427	1
29427	10952	2
28043	29668	1
29668	28043	2
7392	1132	1
1132	7392	2
28043	6923	1
6923	28043	2
17841	16677	1
16677	17841	2
18160	11269	1
11269	18160	2
3528	9685	1
9685	3528	2
29004	17880	1
17880	29004	2
30461	2368	1
2368	30461	2
18181	21236	1
21236	18181	2
3528	7906	1
7906	3528	2
2408	19503	1
19503	2408	2
15477	29472	1
29472	15477	2
29230	1421	1
1421	29230	2
20028	30549	1
30549	20028	2
29809	27113	1
27113	29809	2
12934	22619	1
22619	12934	2
26678	22675	1
22675	26678	2
28063	15496	1
15496	28063	2
25892	13384	1
13384	25892	2
10531	19131	1
19131	10531	2
10322	4615	1
4615	10322	2
30469	662	1
662	30469	2
3528	23271	1
23271	3528	2
10952	25762	1
25762	10952	2
5964	26269	1
26269	5964	2
12169	3327	1
3327	12169	2
21022	26678	1
26678	21022	2
10865	20201	1
20201	10865	2
27501	3528	1
3528	27501	2
9750	12876	1
12876	9750	2
27463	23814	1
23814	27463	2
23239	416	1
416	23239	2
17521	239	1
239	17521	2
18181	29388	1
29388	18181	2
7392	12316	1
12316	7392	2
17946	22283	1
22283	17946	2
10322	19426	1
19426	10322	2
13972	12804	1
12804	13972	2
11966	17462	1
17462	11966	2
26678	16850	1
16850	26678	2
20129	6033	1
6033	20129	2
2863	3227	1
3227	2863	2
20028	4505	1
4505	20028	2
939	2730	1
2730	939	2
6703	127	1
127	6703	2
12666	15633	1
15633	12666	2
22762	16325	1
16325	22762	2
