19249
305	18301
305	8150
305	10858
305	1723
305	13491
305	6346
305	14186
305	12169
305	11923
305	17769
305	14726
305	1331
305	3753
305	17780
305	16080
305	11357
305	4340
305	8780
305	18538
305	15646
305	1386
305	10924
305	16789
305	2040
305	6412
305	14232
305	707
305	10020
305	9349
305	12370
305	14302
305	6399
305	472
305	15386
305	15945
305	4814
305	7531
305	11466
305	13251
305	3096
305	334
305	221
305	13060
305	13563
305	6218
305	6002
305	11747
305	12926
305	5129
305	8716
305	18054
305	17547
305	17016
305	11143
305	2361
305	15807
305	16338
305	18352
305	5695
305	3051
305	10949
305	1658
305	14006
305	8470
305	3295
305	14934
305	328
305	14039
305	2338
305	2818
305	2771
305	12865
305	590
305	12847
305	2561
305	11765
305	9847
305	7820
305	6310
305	2733
305	6216
305	14659
305	8920
305	373
305	12396
305	18141
305	14119
305	2440
305	4961
305	16015
305	17744
305	10075
305	18523
305	16606
305	3800
305	14112
305	6913
305	18507
305	5657
305	6938
305	3177
305	4449
305	1361
305	1123
305	7580
305	12589
305	2766
305	1745
305	7296
305	5300
305	10264
305	1370
305	18328
305	6240
305	112
305	15159
305	1724
305	16938
305	6211
305	5225
305	13701
305	16885
305	14609
305	1199
305	7106
305	14982
305	10534
305	1788
305	13037
305	18269
305	18644
305	10454
305	11421
305	16778
305	15901
305	5488
305	9374
305	16622
305	5207
305	4029
305	18125
305	3936
305	12839
305	14524
305	1082
305	1275
305	18343
305	8012
305	7689
305	8241
305	8539
305	14851
305	8615
305	12110
305	1893
305	10310
305	13036
305	18094
305	17686
305	18556
305	3972
305	6015
305	7279
305	14520
305	4091
305	12635
305	16022
305	12887
305	10109
305	1474
305	18958
305	15481
305	5970
305	3563
305	17650
305	11588
305	536
305	367
305	17042
305	11854
305	15413
305	12316
305	258
305	8768
305	18251
305	18293
305	2944
305	4135
305	2487
305	9297
305	6417
305	15909
305	6283
305	18443
305	12639
305	13217
305	10798
305	18992
305	11294
305	6385
305	5817
305	5405
305	2398
305	10420
305	943
305	13139
305	6475
305	16864
305	180
305	2279
305	11546
305	3485
305	10241
305	2142
305	7022
305	4811
305	6387
305	4336
305	7322
305	11495
305	9212
305	10836
305	8218
305	1470
305	407
305	761
305	3795
305	6877
305	7543
305	5617
305	12617
305	3110
305	12157
305	4992
305	15803
305	3902
305	13678
305	11779
305	18080
305	15934
305	19043
305	8246
305	1
305	9622
305	1913
305	11805
305	8436
305	13807
305	15217
305	16074
305	6674
305	7838
305	16186
305	15286
305	13729
305	1767
305	19058
305	6842
305	6072
305	5218
305	3114
305	1201
305	4222
305	7521
305	17462
305	1341
305	14153
305	7701
305	14313
305	14337
305	18888
305	13963
305	14847
305	4723
305	13282
305	8375
305	8081
305	5112
305	724
305	11132
305	5677
305	17616
305	5778
305	2910
305	12258
305	3093
305	17249
305	17294
305	12575
305	17953
305	9249
305	9577
305	12918
305	2468
305	11310
305	14544
305	13636
305	1220
305	6785
305	12371
305	8654
305	18829
305	17191
305	519
305	6129
305	2749
305	10357
305	9400
305	8243
305	4424
305	12789
305	17364
305	970
305	14653
305	14364
305	9942
305	14348
305	15672
305	9653
305	1197
305	1276
305	14139
305	2414
305	5799
305	4812
305	19185
305	7852
305	14656
305	9140
305	7918
305	2112
305	4412
305	13476
305	7867
305	4045
305	12611
305	11013
305	7082
305	5237
305	12090
305	16432
305	9378
305	12400
305	12270
305	8016
305	4918
305	11502
305	2763
305	8575
305	4800
305	12105
305	4962
305	7349
305	12670
305	2670
305	11178
305	5440
305	10794
305	2676
305	13066
305	8387
305	2682
305	2525
305	8334
305	6252
305	6737
305	17935
305	9230
305	18297
305	894
305	2904
305	18235
305	15722
305	574
305	1547
305	16030
305	1628
305	13723
305	14867
305	10822
305	5671
305	7004
305	9053
305	3422
305	10959
305	18955
305	7539
305	16897
305	18830
